Date,Open,High,Low,Close,Adj Close,Volume
22-09-2023,330.100006,331.540009,326.829987,327.890015,322.93103,1669100
25-09-2023,327.070007,329.290009,325.279999,328.839996,323.866638,833300
26-09-2023,325.609985,327.429993,322.420013,323.820007,318.922577,1481800
27-09-2023,324.980011,325,318.980011,321.950012,317.080872,1493000
28-09-2023,320.209991,326.839996,320.209991,325.200012,320.281708,1389600
29-09-2023,327.200012,327.959991,322.269989,323.570007,318.676331,1403900
02-10-2023,322.029999,323.579987,317.100006,318.5,313.683014,1303800
03-10-2023,315.269989,315.679993,304.390015,306.119995,301.490234,3118600
04-10-2023,304.850006,309.059998,303.480011,308.600006,303.93277,1872000
05-10-2023,307.359985,310.549988,304.209991,310.5,305.804016,1584600
06-10-2023,308.109985,315.320007,307.170013,312.480011,307.754089,1595100
09-10-2023,308.899994,313.480011,308.369995,312.609985,307.88208,1094400
10-10-2023,314.470001,316.850006,312.290009,314.769989,310.00943,1193800
11-10-2023,315.429993,316.630005,311.600006,313.019989,308.285889,1672500
12-10-2023,314.149994,314.25,308.019989,309.850006,305.163849,1727700
13-10-2023,312,316.179993,308.170013,309.299988,304.622162,1785200
16-10-2023,313.179993,315.899994,310.25,314.390015,309.635193,2273900
17-10-2023,313.380005,316.179993,305.910004,309.359985,304.681244,4123000
18-10-2023,307,307.220001,301.480011,301.959991,297.393188,3460300
19-10-2023,301.959991,305.339996,298.630005,299.190002,294.66507,3211800
20-10-2023,298.5,303.25,298.100006,300.049988,295.512054,2328700
23-10-2023,298.290009,303.549988,298.190002,299.220001,294.694611,2959800
24-10-2023,300,303.100006,299.079987,299.179993,294.655212,1697100
25-10-2023,298.600006,300,295.029999,296.76001,292.27182,1809300
26-10-2023,296.959991,300.140015,294.779999,296.98999,292.498322,2011200
27-10-2023,297.549988,298.269989,289.359985,289.910004,285.525452,2601700
30-10-2023,293.450012,301.809998,293.290009,300.829987,296.280243,3065200
31-10-2023,301.679993,304.290009,300.700012,303.609985,299.018188,2611000
01-11-2023,303.329987,308.25,302.839996,307.160004,302.514526,2345400
02-11-2023,309.690002,314.540009,308,313.76001,309.014709,2597000
03-11-2023,318.459991,329.329987,317.929993,327.619995,322.66507,3740800
06-11-2023,326.660004,328.899994,322.100006,323.910004,319.01123,2087600
07-11-2023,322.130005,326.390015,321.290009,323.950012,319.050629,1505000
08-11-2023,323.950012,326.660004,323.670013,324.559998,319.651367,1484400
09-11-2023,326,326.649994,319.660004,320.779999,315.928558,1787900
10-11-2023,323.320007,326.059998,321.649994,325.51001,320.587036,1781400
13-11-2023,324.160004,328.720001,323.529999,326.910004,321.965851,1403300
14-11-2023,333.529999,341.779999,332.470001,338.720001,333.597229,3592700
15-11-2023,339.899994,341.079987,335.339996,337.600006,332.494171,2534500
16-11-2023,337.76001,339.75,335.01001,336.670013,331.578247,1620400
17-11-2023,339.5,340.450012,338.119995,339.190002,334.06012,1465200
20-11-2023,340,341.320007,337.5,339.450012,334.316193,3146000
21-11-2023,338.359985,339.089996,334.549988,334.970001,329.903931,1900900
22-11-2023,336.940002,338.910004,335.369995,338.640015,333.518433,1235200
24-11-2023,338.799988,340.269989,337.640015,339.149994,334.020691,460100
27-11-2023,339.190002,340.019989,335.73999,337.709991,332.602509,1250500
28-11-2023,337.380005,338.399994,334.869995,337.649994,332.543396,1419000
29-11-2023,337,343.529999,336.51001,340.26001,337.865692,2038100
30-11-2023,341.679993,344.76001,340.089996,341.540009,339.136688,1903600
01-12-2023,341.459991,348.890015,340.420013,348.429993,345.97821,3622800
04-12-2023,346.299988,350.48999,345.290009,349.390015,346.931458,2178100
05-12-2023,346.600006,346.829987,340.540009,341.75,339.345215,2429700
06-12-2023,343.51001,347,341.600006,341.970001,339.56366,1869300
07-12-2023,343.709991,344.690002,342,344.619995,342.195007,2162400
08-12-2023,344.309998,352.290009,343.779999,350.829987,348.361298,2238800
11-12-2023,351.440002,353.029999,349.049988,351.76001,349.28479,1636000
12-12-2023,351.410004,354,349.579987,352.609985,350.128784,1597600
13-12-2023,352.940002,362.850006,351.600006,362.730011,360.177582,2876500
14-12-2023,366.5,386.200012,365,383.470001,380.771637,5376300
15-12-2023,380.190002,385.899994,379.320007,380.51001,377.832489,4521600
18-12-2023,381.26001,382.76001,375.910004,376.399994,373.751373,2740900
19-12-2023,376.01001,383.769989,374.549988,382.450012,379.75882,2091800
20-12-2023,380.730011,385.130005,377.25,377.519989,374.863495,1836500
21-12-2023,380.049988,381.48999,377.01001,380.570007,377.892059,1301600
22-12-2023,382,383.48999,379.410004,380.649994,377.971466,1538200
26-12-2023,380.649994,382.609985,380.049988,381.609985,378.924713,837300
27-12-2023,381.200012,385.75,380.309998,384.480011,381.774536,1367200
28-12-2023,384.519989,387.76001,383.630005,386.410004,383.690948,1024700
29-12-2023,385.570007,386.640015,383.570007,385.769989,383.05545,881300
02-01-2024,383,389.140015,382.190002,388.299988,385.567657,2263100
03-01-2024,383.880005,385.399994,376.76001,381.790009,379.103485,2265300
04-01-2024,383.549988,387.089996,381.950012,382.950012,380.25531,1618300
05-01-2024,381.920013,389.470001,381.079987,386.440002,383.720734,2913900
08-01-2024,385.970001,389.079987,382.029999,388.859985,386.123688,1902600
09-01-2024,384.600006,385.950012,381.769989,383.73999,381.039734,1708800
10-01-2024,381.350006,383.049988,378.529999,381.959991,379.272247,1547300
11-01-2024,380.890015,380.980011,374.679993,379.75,377.07782,2209900
12-01-2024,383.339996,385.850006,376.579987,377.75,375.091888,2223100
